numero;asd;ballerini;categoria;classe;disciplina;gruppo;n;specialita
101;KICKBOXING CLUB;42+9;U7;LS;POPDANCE;GG;11;SINCRO
102;KICKBOXING CLUB;;U7;LS;POPDANCE;PG;7;SINCRO
103;KICKBOXING CLUB;;U11;LS;POPDANCE;GG;15;COREOGRAPHIC
104;KICKBOXING CLUB;;U13;GS;LATIN;PG;9;COREOGRAPHIC
105;KICKBOXING CLUB;;U13;GS;POPDANCE;PG;9;COREOGRAPHIC
106;LA DANSE;27;U9;LS;HIPHOP;GG;15;SHOW
107;LA DANSE;;U13;LS;HIPHOP;GG;12;SHOW
108;DANZA IN PALCOSCENICO;;U13;GS;HIPHOP;PG;9;SHOW
109;TD CLUB;11;U13;LS;LATIN;GG;11;SINCRO
110;TD CLUB;;U13;LS;POPDANCE;GG;11;SINCRO
111;TD CLUB;;U13;LS;HIPHOP;GG;11;SHOW
112;NEW GENERATION DANCE;8 + 8;U16;GS;LATIN;PG;8;SINCRO
113;NEW GENERATION DANCE;;U16;GS;LATIN;PG;8;COREOGRAPHIC
114;ARTE IN MOVIMENTO;14 + 9;U9;LS;LATIN;PG;9;SINCRO
115;ARTE IN MOVIMENTO;;U9;LS;POPDANCE;PG;9;SHOW
116;ARTE IN MOVIMENTO;;U11;LS;LATIN;PG;5;SINCRO
118;DIFFDANZACAMPANIA;20;U7;LS;POPDANCE;PG;7;COREOGRAPHIC
119;DIFFDANZACAMPANIA;;U9;LS;POPDANCE;GG;13;COREOGRAPHIC
120;ENERGYM;30;U7;LS;POPDANCE;PG;9;SHOW
121;ENERGYM;;U9;LS;POPDANCE;GG;14;SHOW
122;ENERGYM;;U13;LS;POPDANCE;PG;7;SHOW
123;NEW AURORA DANCE;39 + 4;U7;GS;LATIN;GG;27;COREOGRAPHIC
124;NEW AURORA DANCE;;U16;LS;LATIN;PG;8;SINCRO
125;NEW AURORA DANCE;;O16;GS;LATIN;PG;4;SINCRO
126;NEW AURORA DANCE;;O16;GS;LATIN;PG;4;SHOW
127;PLANET FITNESS;40;U7;LS;LATIN;PG;7;SINCRO
128;PLANET FITNESS;;U11;LS;LATIN;GG;12;SINCRO
129;PLANET FITNESS;;U16;LS;LATIN;GG;21;COREOGRAPHIC
130;BRUGY DANCE;30;U16;LS;LATIN;GG;12;SINCRO
131;BRUGY DANCE;;U11;LS;LATIN;GG;15;SINCRO
132;BRUGY DANCE;;O16;GS;LATIN;GG;12;SINCRO
133;BRUGY DANCE;;U21;GS;LATIN;PG;10;SINCRO
